e,n,v
5,3,0
5,3,0
5,2,0
5,2,0
5,2,0
5,2,0
5,1,0
5,1,0
5,1,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,-1
5,0,-1
5,0,-1
5,0,-2
5,0,-2
5,0,-2
5,0,-2
5,0,-3
5,0,-3
5,0,-3
5,0,-4
5,0,-4
5,0,-4
5,0,-5
5,0,-5
5,0,-5
5,1,-6
6,1,-7
6,1,-7
6,2,-8
7,2,-9
7,2,-9
7,2,-10
8,3,-10
8,3,-11
8,3,-12
9,4,-12
9,4,-13
9,4,-13
9,5,-14
10,5,-15
10,5,-14
10,4,-12
10,4,-11
10,4,-10
10,3,-9
10,3,-8
10,3,-7
10,2,-6
10,2,-5
10,2,-4
10,2,-3
10,1,-2
10,1,-1
10,1,0
10,0,1
10,0,2
9,0,2
9,0,3
9,0,4
9,0,5
8,0,6
8,0,7
8,0,8
7,0,9
7,0,10
7,0,10
6,0,10
6,0,10
6,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,1,10
5,1,10
5,1,10
5,2,10
5,2,10
5,2,10
5,2,10
5,3,10
5,3,9
5,3,9
5,4,8
5,4,7
5,4,7
5,5,6
5,5,5
5,5,5
5,4,5
5,4,5
5,4,5
5,3,5
5,3,5
5,3,5
5,2,5
5,2,5
5,2,5
5,2,5
5,1,5
5,1,5
5,1,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,6
5,0,6
5,0,6
5,0,7
5,0,7
5,0,7
5,0,8
5,0,8
5,0,8
5,0,9
5,0,9
5,0,9
5,0,9
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,0,10
5,-1,10
5,-1,10
5,-2,10
5,-2,10
5,-3,10
5,-4,10
5,-4,10
5,-5,10
5,-5,10
5,-6,10
5,-7,10
5,-7,10
5,-8,10
5,-9,10
5,-9,10
4,-10,10
4,-9,10
4,-8,9
3,-7,9
3,-6,9
3,-5,9
2,-4,8
2,-3,8
2,-2,8
2,-2,7
1,-1,7
1,0,7
1,1,6
0,2,6
0,3,6
0,4,5
1,5,5
1,5,5
1,4,5
2,4,5
2,4,5
2,3,5
2,3,5
3,3,5
3,2,5
3,2,5
4,2,5
4,2,5
4,1,5
5,1,5
5,1,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
4,0,5
4,0,5
4,1,5
3,1,4
3,1,4
3,2,4
2,2,3
2,2,3
2,2,3
2,3,2
1,3,2
1,3,2
1,4,2
